YEAR,MSNAME,Germany,Spain,Austria,Italy,Sweden,France,Norway,Netherlands,Frontex,Finland,United Kingdom,Switzerland,Ireland,Belgium,Denmark,Iceland,Hungary,Bulgaria,Poland,Luxembourg,Malta,Greece,Albania,Portugal,Georgia,Romania,Cyprus,Czech Republic,Slovakia,Lithuania,Slovenia,Latvia,Estonia,Montenegro,Ukraine,Croatia,North Macedonia
2008,all EU member states,760487.68,6760537.09,3823612.91,187393.46,426902.30999999994,541734.54,0,1102703.47,0,0,1062073,0,0,10999.66,0,0,0,0,57978.96,10075,0,46760,0,0,0,3580.5,0,0,13531.66,0,14503.16,0,0,0,0,0,0
2009,all EU member states,3414650.4,1202435.28,7306709.34,2843636.16,2817151.32,2955869.16,558012.78,1849680.36,131632.56,39617.88,0,0,2203801.2,76794.84,0,49698.96,19388.52,0,230536.8,256952.04,40002.3,27173.4,0,0,0,23610.36,44598.84,27555.239999999998,28441.620000000003,0,10101.119999999999,8879.099999999999,0,0,0,0,0
2010,all EU member states,4623624.54,9873225.78,9806476.14,2153411.1,7155607.92,3447710.64,1857678.3599999999,2639806.02,611645.34,982982.46,6070491,0,333925.86,8637.119999999999,0,21201.300000000003,59788.5,7255.4400000000005,303233.22,0,311424.6,234413.03999999998,0,0,0,0,30287.64,13334.82,452.04,0,0,0,0,0,0,0,0
2011,all EU member states,4699704.6,9166865.459999999,8555974.02,2294187.48,5076612.66,3030840.72,3141359.22,3602662.32,272387.88,2411953.26,2601893.94,414773.76,3231408.3000000003,53315.64,68773.02,0,40562.94,20334.36,98747.76,115085.88,56996.82,28558.800000000003,0,201449.22,0,0,0,14204.099999999999,328.74,0,0,3676.92,0,0,0,0,0
2012,all EU member states,5779309.56,8941512.84,9903248.52,3760644,4869171,1247510.58,3881353.44,1872269.1,224637,647158.14,0,190856.64,1073759.46,9012.06,3872.3999999999996,0,18713.46,19632.96,90047.40000000001,30725.4,35184.84,75820.02,0,28156.38,0,36256.32,0,1228.8600000000001,0,0,0,3220.56,0,0,0,0,0
2013,all EU member states,5202454.62,14194569.12,7104892.74,4904025,3427849.74,1174173.84,2554730.1,1882438.1400000001,210871.08000000002,1011612,0,202703.76,1334941.26,0,245585.99999999997,686503.5599999999,61786.259999999995,283990.74,71903.7,0,17029.800000000003,0,0,37470.96,0,31989.48,0,0,0,0,0,0,5053.4400000000005,0,0,5833.5,0
2014,all EU member states,4692909.42,11964597.959999999,3501936.3,3991853.76,4734332.52,2246219.46,3807178.14,2879664.7199999997,0,2064004.5,1375672.7999999998,841555.92,0,0,73658.16,42445.56,777259.92,118185.42,86453.04000000001,72560.52,321357.84,0,0,35226.24,0,22424.04,0,0,247.68,0,0,0,0,0,0,0,0
2015,all EU member states,11955718.26,9217994.82,9718559.82,8701016.82,5983546.8,2334310.68,4704254.52,3177979.5,0,1899999.42,1080180,1773530.964,762549.48,858087.66,2391536.88,774732.24,857361.48,627458.94,45850.74,248270.46,83297.09999999999,1968,0,9353.099999999999,0,23080.56,0,648,1181.16,14650.2,0,0,6559.32,0,0,1000.6800000000001,0
2016,all EU member states,10189994.8,2456442.51,4216815.75,1413698.75,1411741.56,888790.53,854567.63,381981.71,0,1576296.6,0,1479176.01,0,646868.85,1833881.64,874111.86,116249.74,6348.93,17843.87,36042.950000000004,2275.13,164,12625.46,5038.33,4959,2877.09,0,0,26.84,7019.24,1542.5,0,0,0,0,0,941.65
2017,all EU member states,11995647.44,2748055.7399999998,5976814.84,4071848.79,2572701.51,2700181.57,737509.92,547381.76,0,1508799.94,0,1261868.33,0,2851312.12,1043017.0700000001,1838557.55,221319.62,58911.009999999995,27052.8,45172.24,0,15996.07,36166.01,2468.23,13051.86,4874.18,0,3902.95,5855.64,6794.4400000000005,4053.24,0,0,0,2768.09,0,0
2018,all EU member states,20377274.0711,2945033.3227999997,7499475.6716,4301704.9582,2016550.371,2623917.3666,231165.53770000002,137232.4774,1446816.74,606147.0884,0,1668205.0277,0,958840.5806999999,1914.96,853103.75,229021.36829999997,27226.7767,19833.37,26226.972999999998,0,0,71093.7953,7064.07,44828.0459,0,0,7075.837799999999,0,6156.96,2200.1032,0,0,2805.005,0,0,0
2019,all EU member states,26029143.4617,3346856.3112,6640403.4488,4176211.2361,5053962.0179,2602206.0463,383785.7792,10945.673,2602206,407254.67449999996,0,1065511.2059,0,569224.9809,90860.8827,158672.01,55660.7768,99223.41,21100.415,67101.976,0,0,81216.0281,681.75,32003.272,6266.04,0,6722.56,0,0,6016.973999999999,0,0,2696.4,4878.13,0,0
2020,all EU member states,15338245.3049,1150358.0335,1690899.58,2633770.94,1310733.3277,2166582.1181,115557.69559999999,146421.215,1782075,270127.53,0,0,0,348553.2725,0,232059.5392,13838.7574,25038.91,41742.795,35814.2768,3055.25,0,53518.3612,0,16369.715999999999,8502.18,0,4620.75,1452.5618000000002,0,5959,0,0,2696.4,0,0,0
2021,all EU member states,24632609.4119,2455545.6128,881275.6616,6281720.5025,2673991.9882,2678054.2486,85726.26490000001,0,3554189.04,55513.64,0,349627.2964,0,13382.964600000001,0,57741.4273,14993.4298,37990.14,25803.48,134393.4583,0,0,84792.8776,557.52,33736.03,14467.6036,0,5817.6,212.1,0,627.6948,0,0,0,0,0,0
2022,all EU member states,20466774.8047,1707632.2197,532690.2812,8501927.2172,1138443.0534,3291078.233,1378145,49518.28,3495782.81,230457.51760000002,0,284299.2945,0,223754.30920000002,157090.8752,0,11152.2382,6875.07,33236.6154,18434.550300000003,8541.57,0,88940.8503,0,40604.4884,3559.0178,74267.2392,1892.74,33479.1972,23263.087599999995,0,0,0,0,0,0,0
2008,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Austria,0,0,3823612.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,10999.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,France,0,0,0,0,0,541734.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Frontex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Germany,760487.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Italy,0,0,0,187393.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Netherlands,0,0,0,0,0,0,0,1102703.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57978.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580.5,0,0,0,0,0,0,0,0,0,0,0
2008,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13531.66,0,0,0,0,0,0,0,0
2008,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14503.16,0,0,0,0,0,0
2008,Spain,0,6760537.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Sweden,0,0,0,0,426902.30999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,United Kingdom,0,0,0,0,0,0,0,0,0,0,1062073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Austria,0,0,7306709.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,76794.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44598.84,0,0,0,0,0,0,0,0,0,0
2009,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27555.239999999998,0,0,0,0,0,0,0,0,0
2009,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Finland,0,0,0,0,0,0,0,0,0,39617.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,France,0,0,0,0,0,2955869.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Frontex,0,0,0,0,0,0,0,0,131632.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Germany,3414650.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27173.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19388.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49698.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,2203801.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Italy,0,0,0,2843636.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8879.099999999999,0,0,0,0,0
2009,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256952.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40002.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Netherlands,0,0,0,0,0,0,0,1849680.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Norway,0,0,0,0,0,0,558012.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230536.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23610.36,0,0,0,0,0,0,0,0,0,0,0
2009,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28441.620000000003,0,0,0,0,0,0,0,0
2009,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10101.119999999999,0,0,0,0,0,0
2009,Spain,0,1202435.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Sweden,0,0,0,0,2817151.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Austria,0,0,9806476.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,8637.119999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7255.4400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30287.64,0,0,0,0,0,0,0,0,0,0
2010,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13334.82,0,0,0,0,0,0,0,0,0
2010,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Finland,0,0,0,0,0,0,0,0,0,982982.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,France,0,0,0,0,0,3447710.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Frontex,0,0,0,0,0,0,0,0,611645.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Germany,4623624.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234413.03999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59788.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21201.300000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,333925.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Italy,0,0,0,2153411.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311424.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
