DEST,MSNAME,N_RETURNEES
Afghanistan,Austria,429
Afghanistan,Belgium,5
Afghanistan,Bulgaria,30
Afghanistan,Denmark,19
Afghanistan,Finland,62
Afghanistan,Germany,1104
Afghanistan,Greece,11
Afghanistan,Hungary,43
Afghanistan,Luxembourg,1
Afghanistan,Romania,36
Afghanistan,Slovakia,1
Afghanistan,Slovenia,2
Afghanistan,Sweden,444
Albania,Austria,65
Albania,Belgium,765
Albania,Bulgaria,1
Albania,Denmark,1
Albania,Estonia,1
Albania,Finland,78
Albania,France,7586
Albania,Frontex,0
Albania,Germany,8830
Albania,Hungary,12
Albania,Iceland,330
Albania,Ireland,34
Albania,Italy,78
Albania,Luxembourg,69
Albania,Netherlands,200
Albania,Poland,4
Albania,Portugal,1
Albania,Spain,627
Albania,Sweden,468
Albania,United Kingdom,155
Angola,Switzerland,2
Armenia,Austria,207
Armenia,Belgium,22
Armenia,Bulgaria,3
Armenia,Finland,4
Armenia,France,21
Armenia,Germany,1120
Armenia,Greece,3
Armenia,Hungary,5
Armenia,Iceland,2
Armenia,Italy,7
Armenia,Netherlands,9
Armenia,Poland,10
Armenia,Spain,11
Armenia,Sweden,78
Armenia,Switzerland,12
Azerbaijan,Austria,8
Azerbaijan,Belgium,4
Azerbaijan,Germany,594
Azerbaijan,Switzerland,2
Bangladesh,Austria,25
Bangladesh,Cyprus,24
Bangladesh,France,1
Bangladesh,Germany,311
Bangladesh,Greece,42
Bangladesh,Iceland,1
Bangladesh,Italy,1
Bangladesh,Latvia,5
Bangladesh,Malta,2
Bangladesh,Romania,4
Bangladesh,Spain,62
Bangladesh,Switzerland,1
Belarus,Germany,3
Belarus,Switzerland,2
Benin,Germany,3
Benin,Switzerland,1
Bosnia and Herzegovina,Austria,10
Bosnia and Herzegovina,Belgium,6
Bosnia and Herzegovina,Germany,752
Bosnia and Herzegovina,Hungary,1
Bosnia and Herzegovina,Luxembourg,16
Bosnia and Herzegovina,Sweden,20
Burkina Faso,Germany,3
Burundi,Netherlands,1
Burundi,Norway,4
Burundi,Sweden,16
Cameroon,Austria,2
Cameroon,Belgium,4
Cameroon,France,13
Cameroon,Germany,33
Cameroon,Luxembourg,1
Cameroon,Netherlands,31
Cameroon,Poland,1
Cameroon,Romania,1
Cameroon,Spain,12
Cameroon,Sweden,4
Cameroon,Switzerland,27
Cameroon,United Kingdom,8
Colombia,Bulgaria,2
Colombia,Finland,5
Colombia,France,12
Colombia,Hungary,1
Colombia,Italy,5
Colombia,Netherlands,7
Colombia,Poland,4
Colombia,Portugal,1
Colombia,Romania,1
Colombia,Spain,2372
Colombia,Sweden,5
Colombia,Switzerland,7
Congo DR,Belgium,189
Congo DR,Cyprus,35
Congo DR,Czech Republic,1
Congo DR,Finland,8
Congo DR,France,8
Congo DR,Germany,11
Congo DR,Hungary,2
Congo DR,Ireland,17
Congo DR,Lithuania,1
Congo DR,Luxembourg,1
Congo DR,Norway,4
Congo DR,Poland,1
Congo DR,Romania,3
Congo DR,Sweden,9
Congo DR,Switzerland,32
Congo DR,United Kingdom,3
C么te D'ivoire,Bulgaria,17
C么te D'ivoire,Germany,3
C么te D'ivoire,Norway,1
C么te D'ivoire,Switzerland,11
Dominican Republic,Bulgaria,3
Dominican Republic,France,2
Dominican Republic,Germany,1
Dominican Republic,Greece,6
Dominican Republic,Luxembourg,1
Dominican Republic,Spain,294
Dominican Republic,Switzerland,1
Ecuador,Bulgaria,3
Ecuador,France,15
Ecuador,Germany,1
Ecuador,Italy,30
Ecuador,Portugal,1
Ecuador,Spain,735
Egypt,Austria,3
Egypt,France,1
Egypt,Germany,122
Egypt,Greece,1
Egypt,Hungary,3
Egypt,Italy,1021
Egypt,Norway,2
Egypt,Poland,1
Egypt,Switzerland,7
Ethiopia,Finland,4
Ethiopia,Germany,30
Ethiopia,Norway,14
Ethiopia,Sweden,17
Ethiopia,Switzerland,4
Gambia,Austria,44
Gambia,Finland,11
Gambia,Germany,244
Gambia,Greece,1
Gambia,Hungary,1
Gambia,Italy,24
Gambia,Norway,3
Gambia,Slovenia,1
Gambia,Sweden,15
Gambia,Switzerland,8
Georgia,Austria,531
Georgia,Belgium,31
Georgia,Bulgaria,9
Georgia,Cyprus,1
Georgia,Czech Republic,5
Georgia,Denmark,21
Georgia,Finland,21
Georgia,France,823
Georgia,Germany,4692
Georgia,Greece,297
Georgia,Hungary,22
Georgia,Iceland,85
Georgia,Ireland,57
Georgia,Italy,159
Georgia,Lithuania,26
Georgia,Luxembourg,19
Georgia,Netherlands,2
Georgia,Norway,15
Georgia,Poland,186
Georgia,Portugal,3
Georgia,Romania,1
Georgia,Spain,743
Georgia,Sweden,190
Georgia,Switzerland,74
Georgia,United Kingdom,2
Ghana,Belgium,8
Ghana,Finland,3
Ghana,France,4
Ghana,Germany,523
Ghana,Ireland,1
Ghana,Italy,3
Ghana,Malta,28
Ghana,Poland,2
Ghana,Spain,5
Ghana,Sweden,1
Ghana,Switzerland,7
Guinea,Austria,1
Guinea,Belgium,44
Guinea,France,16
Guinea,Germany,119
Guinea,Netherlands,2
Guinea,Romania,1
Guinea,Spain,24
Guinea,Sweden,1
Guinea,Switzerland,9
Guinea-Bissau,Switzerland,2
India,Austria,19
Iraq,Belgium,3
Iraq,Bulgaria,1
Iraq,Denmark,7
Iraq,Finland,369
Iraq,France,14
Iraq,Germany,77
Iraq,Netherlands,29
Iraq,Norway,65
Iraq,Sweden,161
Iraq,United Kingdom,28
Kenya,Germany,15
Kosovo,Austria,1215
Kosovo,Belgium,33
Kosovo,Bulgaria,1
Kosovo,Croatia,4
Kosovo,Denmark,4
Kosovo,Finland,154
Kosovo,France,155
Kosovo,Germany,6560
Kosovo,Hungary,802
Kosovo,Iceland,12
Kosovo,Luxembourg,38
Kosovo,Netherlands,4
Kosovo,Norway,79
Kosovo,Poland,2
Kosovo,Portugal,1
Kosovo,Romania,4
Kosovo,Slovakia,6
Kosovo,Slovenia,4
Kosovo,Sweden,310
Kosovo,United Kingdom,7
Kyrgyzstan,Poland,168
Lebanon,Denmark,7
Lebanon,Germany,11
Lebanon,Norway,64
Mali,Germany,2
Mauritania,Spain,349
Moldova,Belgium,1
Moldova,France,5
Moldova,Germany,2924
Moldova,Sweden,3
Moldova,Switzerland,3
Mongolia,Austria,12
Mongolia,Czech Republic,1
Mongolia,Norway,3
Mongolia,Poland,6
Mongolia,Sweden,251
Mongolia,Switzerland,1
Montenegro,Germany,384
Montenegro,Luxembourg,14
Nigeria,Austria,1066
Nigeria,Belgium,85
Nigeria,Bulgaria,72
Nigeria,Cyprus,13
Nigeria,Czech Republic,15
Nigeria,Denmark,49
Nigeria,Estonia,1
Nigeria,Finland,99
Nigeria,France,119
Nigeria,Frontex,0
Nigeria,Germany,1349
Nigeria,Greece,184
Nigeria,Hungary,97
Nigeria,Iceland,4
Nigeria,Ireland,523
Nigeria,Italy,2076
Nigeria,Latvia,1
Nigeria,Lithuania,13
Nigeria,Luxembourg,56
Nigeria,Malta,88
Nigeria,Netherlands,258
Nigeria,Norway,490
Nigeria,Poland,52
Nigeria,Portugal,22
Nigeria,Romania,13
Nigeria,Slovakia,6
Nigeria,Slovenia,7
Nigeria,Spain,530
Nigeria,Sweden,187
Nigeria,Switzerland,236
Nigeria,United Kingdom,456
North Macedonia,Austria,68
North Macedonia,Belgium,9
North Macedonia,Finland,3
North Macedonia,France,1
North Macedonia,Germany,3761
North Macedonia,Iceland,263
North Macedonia,Luxembourg,11
North Macedonia,Spain,2
North Macedonia,Sweden,25
Pakistan,Austria,225
Pakistan,Belgium,31
Pakistan,Bulgaria,79
Pakistan,Cyprus,11
Pakistan,Czech Republic,2
Pakistan,Finland,14
Pakistan,France,54
Pakistan,Germany,1628
Pakistan,Greece,724
Pakistan,Hungary,79
Pakistan,Ireland,55
Pakistan,Italy,25
Pakistan,Lithuania,5
Pakistan,Malta,2
Pakistan,Netherlands,8
Pakistan,Norway,22
Pakistan,Poland,34
Pakistan,Portugal,4
Pakistan,Romania,10
Pakistan,Slovakia,10
Pakistan,Slovenia,6
Pakistan,Spain,193
Pakistan,Sweden,57
Pakistan,Switzerland,32
Pakistan,United Kingdom,43
Peru,Hungary,1
Peru,Portugal,1
Peru,Spain,76
Russia,Austria,218
Russia,Belgium,5
Russia,Bulgaria,2
Russia,Germany,871
Russia,Hungary,1
Russia,Norway,1
Russia,Poland,44
Russia,Sweden,6
Russia,Switzerland,19
Senegal,Germany,30
Senegal,Spain,204
Serbia,Austria,65
Serbia,Belgium,42
Serbia,Denmark,1
Serbia,Finland,16
Serbia,France,23
Serbia,Germany,7495
Serbia,Iceland,4
Serbia,Ireland,5
Serbia,Italy,3
Serbia,Luxembourg,76
Serbia,Netherlands,9
Serbia,Norway,7
Serbia,Spain,11
Serbia,Sweden,361
Somalia,Denmark,2
Somalia,Germany,10
Sri Lanka,Austria,1
Sri Lanka,Bulgaria,23
Sri Lanka,Germany,42
Sri Lanka,Lithuania,2
Sri Lanka,Sweden,5
Sri Lanka,Switzerland,28
Sudan,Germany,1
Sudan,Hungary,1
Sudan,Italy,40
Sudan,Norway,2
Sudan,Switzerland,16
Syria,Cyprus,63
Syria,Greece,4
Tajikistan,Poland,530
Togo,France,2
Togo,Germany,20
Togo,Luxembourg,1
Togo,Switzerland,4
Tunisia,Germany,1271
Tunisia,Italy,10824
Turkey,Austria,49
Turkey,Finland,5
Turkey,Germany,21
Ukraine,Austria,20
Ukraine,France,15
Ukraine,Germany,476
Ukraine,Italy,18
Ukraine,Netherlands,1
Ukraine,Norway,2
Ukraine,Poland,1
Ukraine,Portugal,5
Ukraine,Spain,170
Ukraine,Sweden,3
Ukraine,Switzerland,12
Uzbekistan,Austria,21
Uzbekistan,Finland,1
Uzbekistan,Sweden,19
Uzbekistan,Switzerland,1
Viet Nam,Czech Republic,13
Viet Nam,Germany,98
Viet Nam,Hungary,2
Viet Nam,Lithuania,1
Viet Nam,Netherlands,2
Viet Nam,Norway,4
Viet Nam,Poland,56
Viet Nam,Romania,25
Viet Nam,Sweden,5
